path_prefix,signal_type,signal_role,influx_path,tag_name_resolved,tag_description_resolved,level2_name,level3_name,functional_role,semantic_var,Opis (Znaczenie fizyczne),alarm_konfig_status,score_l2,score_l3
devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/interlockSwitch,VOut,SP,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/interlockSwitch/VOut/Actual,interlockSwitch,Interlock switch,,,,,,TAK,0.0,0.0
devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/moduleIdentificationTrigger,VFbk,PV,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/moduleIdentificationTrigger/VFbk/Actual,moduleIdentificationTrigger,Module Identification Trigger,,,,,,TAK,0.0,0.0
devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/moduleIdentificationTrigger,VMan,Manual,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/moduleIdentificationTrigger/VMan/Actual,moduleIdentificationTrigger,Module Identification Trigger,,,,,,TAK,0.0,0.0
devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/moduleIdentificationTrigger,VOut,SP,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/moduleIdentificationTrigger/VOut/Actual,moduleIdentificationTrigger,Module Identification Trigger,,,,,,TAK,0.0,0.0
devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/protectReset,VFbk,PV,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/protectReset/VFbk/Actual,protectReset,Protect reset,,,,,,TAK,0.0,0.0
devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/protectReset,VMan,Manual,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/protectReset/VMan/Actual,protectReset,Protect reset,,,,,,TAK,0.0,0.0
devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/protectReset,VOut,SP,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/protectReset/VOut/Actual,protectReset,Protect reset,,,,,,TAK,0.0,0.0
devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/resetTotalizer,VFbk,PV,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/resetTotalizer/VFbk/Actual,resetTotalizer,Reset totalizer,,,,,,TAK,0.0,0.0
devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/resetTotalizer,VMan,Manual,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/resetTotalizer/VMan/Actual,resetTotalizer,Reset totalizer,,,,,,TAK,0.0,0.0
devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/resetTotalizer,VOut,SP,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/resetTotalizer/VOut/Actual,resetTotalizer,Reset totalizer,,,,,,TAK,0.0,0.0
devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/safeposEnable,VFbk,PV,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/safeposEnable/VFbk/Actual,safeposEnable,Safe position enable,,,,,,TAK,0.0,0.0
devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/safeposEnable,VMan,Manual,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/safeposEnable/VMan/Actual,safeposEnable,Safe position enable,,,,,,TAK,0.0,0.0
devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/safeposEnable,VOut,SP,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/safeposEnable/VOut/Actual,safeposEnable,Safe position enable,,,,,,TAK,0.0,0.0
devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/safeposSwitch,VFbk,PV,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/safeposSwitch/VFbk/Actual,safeposSwitch,Safe position switch,,,,,,TAK,0.0,0.0
devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/safeposSwitch,VMan,Manual,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/safeposSwitch/VMan/Actual,safeposSwitch,Safe position switch,,,,,,TAK,0.0,0.0
devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/safeposSwitch,VOut,SP,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/safeposSwitch/VOut/Actual,safeposSwitch,Safe position switch,,,,,,TAK,0.0,0.0
devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/tare,VFbk,PV,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/tare/VFbk/Actual,tare,Tare,,,,,,NIE,0.0,0.0
devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/tare,VMan,Manual,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/tare/VMan/Actual,tare,Tare,,,,,,NIE,0.0,0.0
devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/tare,VOut,SP,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/tare/VOut/Actual,tare,Tare,,,,,,NIE,0.0,0.0
devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/totalizer,V,Value,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/totalizer/V/Actual,totalizer,Totalized flow value,,,,totalized_flow,,NIE,0.0,0.0
devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/userGasType,VFbk,PV,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/userGasType/VFbk/Actual,userGasType,Change new gas type,,,,,,NIE,0.0,0.0
devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/userGasType,VMan,Manual,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/userGasType/VMan/Actual,userGasType,Change new gas type,,,,,,NIE,0.0,0.0
devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/userGasType,VOut,SP,devices/289ca36e-495e-445a-ae52-203a431051f5/mtp/objects/Sparger2/userGasType/VOut/Actual,userGasType,Change new gas type,,,,,,NIE,0.0,0.0
